t,sym,px,qty,b1sz,b1px,a1px,a1sz
2020-04-06D09:05:17.574059000,2330,0,0,223,2725000,2730000,174
2020-04-06D09:05:17.684834000,2330,2730000,1,223,2725000,2730000,173
2020-04-06D09:05:17.914753000,2330,0,0,223,2725000,2730000,173
2020-04-06D09:05:17.925381000,2330,0,0,223,2725000,2730000,177
2020-04-06D09:05:18.287136000,2330,0,0,223,2725000,2730000,178
2020-04-06D09:05:19.325310000,2330,0,0,223,2725000,2730000,178
2020-04-06D09:05:19.327049000,2330,0,0,223,2725000,2730000,180
2020-04-06D09:05:19.328150000,2330,0,0,223,2725000,2730000,180
2020-04-06D09:05:19.328335000,2330,0,0,223,2725000,2730000,180
2020-04-06D09:05:19.329557000,2330,0,0,223,2725000,2730000,180
2020-04-06D09:05:19.492567000,2330,2730000,1,223,2725000,2730000,179
2020-04-06D09:05:19.571070000,2330,0,0,223,2725000,2730000,180
2020-04-06D09:05:19.961904000,2330,0,0,223,2725000,2730000,192
2020-04-06D09:05:20.504396000,2330,0,0,223,2725000,2730000,192
2020-04-06D09:05:20.540027000,2330,0,0,224,2725000,2730000,192
2020-04-06D09:05:20.684913000,2330,0,0,223,2725000,2730000,192
2020-04-06D09:05:20.715587000,2330,0,0,223,2725000,2730000,199
2020-04-06D09:05:20.775128000,2330,0,0,223,2725000,2730000,202
2020-04-06D09:05:20.790407000,2330,0,0,223,2725000,2730000,203
2020-04-06D09:05:20.791569000,2330,0,0,223,2725000,2730000,209
2020-04-06D09:05:20.792972000,2330,2730000,8,223,2725000,2730000,201
2020-04-06D09:05:21.200077000,2330,0,0,223,2725000,2730000,202
2020-04-06D09:05:21.308388000,2330,0,0,223,2725000,2730000,202
2020-04-06D09:05:21.310262000,2330,0,0,223,2725000,2730000,202
2020-04-06D09:05:21.327517000,2330,0,0,223,2725000,2730000,206
2020-04-06D09:05:21.391694000,2330,0,0,223,2725000,2730000,206
